kpi,,kpiTriton,,kpi_5uMBM3,,kpitriton__5uMBM3,,kpitriton__10uMBM4,,kpi__10uMBM5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
662.9596558,0.0009643384838,662.9596558,0.004384804517,662.9596558,0.008310065605,662.9596558,0.008086579852,662.9596558,0.01155090984,662.9596558,0.01639473438,
661.9414063,-0.001900473493,661.9414063,0.001374413609,661.9414063,0.008764908649,661.9414063,0.005321019329,661.9414063,0.01115300134,661.9414063,0.01554719731,
661.0683594,-0.0006076361169,661.0683594,0.001762861037,661.0683594,0.006760356948,661.0683594,0.004832542967,661.0683594,0.009920936078,661.0683594,0.0167089086,
660.0494995,-7.894502778E-5,660.0494995,0.003211427713,660.0494995,0.009767646901,660.0494995,0.006954514887,660.0494995,0.0113669103,660.0494995,0.01550217997,
659.0303345,-0.0006806297461,659.0303345,0.003502034815,659.0303345,0.006998155266,659.0303345,0.006271389779,659.0303345,0.01002330892,659.0303345,0.01487448718,
658.0108643,0.0008877340588,658.0108643,0.002180975629,658.0108643,0.00881002564,658.0108643,0.00598283438,658.0108643,0.01232073735,658.0108643,0.01679607667,
656.9910889,0.001677280292,656.9910889,0.002870277734,656.9910889,0.01048056129,656.9910889,0.007095762994,656.9910889,0.0145714609,656.9910889,0.01701679453,
655.9710083,3.329063111E-5,655.9710083,0.001728346106,655.9710083,0.008222867735,655.9710083,0.005676138215,655.9710083,0.01052111015,655.9710083,0.0161822848,
654.9505615,0.002361540217,654.9505615,0.003062703647,654.9505615,0.01071992796,654.9505615,0.008339988068,654.9505615,0.0128622409,654.9505615,0.01903574541,
653.9298706,-0.001704709604,653.9298706,0.001887039049,653.9298706,0.009449087083,653.9298706,0.005922711454,653.9298706,0.01227062102,653.9298706,0.01677350327,
653.0547485,-3.069967352E-5,653.0547485,0.006383019499,653.0547485,0.01004934963,653.0547485,0.006906697061,653.0547485,0.01232563797,653.0547485,0.01934736967,
652.0334473,-0.001508960733,652.0334473,0.002774005523,652.0334473,0.006875347346,652.0334473,0.005149226636,652.0334473,0.01058595814,652.0334473,0.01784449629,
651.0118408,0.0009795157239,651.0118408,0.005460242741,651.0118408,0.01016961318,651.0118408,0.006531676278,651.0118408,0.01343907416,651.0118408,0.01931732893,
649.9899292,-0.001444620313,649.9899292,0.002399827819,649.9899292,0.009211529978,649.9899292,0.004065228626,649.9899292,0.0125850495,649.9899292,0.01901024207,
648.9677734,-0.000938128971,648.9677734,0.004087413196,648.9677734,0.006984344218,648.9677734,0.004768129904,648.9677734,0.01070846617,648.9677734,0.01694387384,
647.9452515,-0.001563593629,647.9452515,0.001411289792,647.9452515,0.006938627455,647.9452515,0.00650736969,647.9452515,0.01108528022,647.9452515,0.01692417264,
647.0685425,0.002886173083,647.0685425,0.007168259472,647.0685425,0.01002187841,647.0685425,0.007782480214,647.0685425,0.01588355377,647.0685425,0.01986801066,
646.0454712,-0.00255914242,646.0454712,0.0009854311356,646.0454712,0.008069781587,646.0454712,0.005679783877,646.0454712,0.01102694217,646.0454712,0.01604766771,
645.0220947,-0.001033276669,645.0220947,0.003639501985,645.0220947,0.009989084676,645.0220947,0.006170658395,645.0220947,0.01234513242,645.0220947,0.01954117417,
643.9984131,-0.000334628392,643.9984131,0.001382437767,643.9984131,0.01023880858,643.9984131,0.006229187828,643.9984131,0.01292437222,643.9984131,0.01881045662,
642.9744263,0.001762757078,642.9744263,0.004266654607,642.9744263,0.01216710452,642.9744263,0.008885371499,642.9744263,0.0168103911,642.9744263,0.0216718521,
641.9501343,-0.0002300653141,641.9501343,0.00268788659,641.9501343,0.008365453221,641.9501343,0.00519368099,641.9501343,0.01251899637,641.9501343,0.01865570061,
641.0718994,-0.001666598371,641.0718994,0.00442078663,641.0718994,0.01028651744,641.0718994,0.005412799306,641.0718994,0.01237498783,641.0718994,0.01815866865,
640.0470581,-0.002230550861,640.0470581,0.0002613198012,640.0470581,0.008230702952,640.0470581,0.004081115592,640.0470581,0.01270002034,640.0470581,0.01536026318,
639.0219116,-0.001874390524,639.0219116,0.001660935348,639.0219116,0.007846630178,639.0219116,0.00577662373,639.0219116,0.0139368251,639.0219116,0.01925776713,
637.99646,-0.0002745633246,637.99646,0.002833225299,637.99646,0.01014444046,637.99646,0.006966404151,637.99646,0.01378654782,637.99646,0.01977599785,
636.9707031,-0.0007013572613,636.9707031,0.001488298294,636.9707031,0.0120825367,636.9707031,0.007211789954,636.9707031,0.01363346353,636.9707031,0.01787214354,
