ligand,km,vmax,rsq,protein_concentration,a420_max,auc,auc_cv,std_405,dd_soret,Triton  / %,DMSO /%,Arginine / mM,Glucose / mM,KPi / mM,KCl / mM,NaCl / mM,NH4 / mM,BSA /mg/ml,controls_ok,experiment_number,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,well_volume,dispense_bulk
,,,,,0.098,"[228.045  229.738  228.0545 221.1625 219.492  222.035  223.3145 227.1745
 228.1525 222.9375 218.624  219.6475 220.153  220.773  213.3745 220.021 ]",0.01945667062063708,0.003366501646120692,,0.0,0,150,150,150,0,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.09699999999999999,"[229.1855 229.3355 223.1285 220.3835 224.5005 220.856  227.192  220.2765
 227.295  220.3605 219.113  217.7675 221.8585 223.6145 215.545  219.6065]",0.017758187928078616,0.0036674241641784532,,0.0,4,0,0,150,150,0,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.10400000000000001,"[224.5315 224.257  221.7085 220.4165 221.394  218.991  232.4345 226.8915
 227.593  222.1145 222.437  222.899  228.373  223.8115 222.6925 223.8235]",0.014585971311931125,0.005671199167724581,,0.0,4,0,150,150,0,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.094,"[231.2375 226.3735 226.779  227.0455 224.4255 226.5825 226.7845 226.3875
 226.0705 224.211  220.464  224.6885 229.8485 224.265  226.899  223.9125]",0.010576509913841015,0.005144576432192128,,0.0,4,150,0,0,0,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.095,"[226.713  226.012  227.5835 225.39   223.831  227.584  224.4225 228.051
 227.0925 223.2675 225.565  222.836  230.4945 223.1975 225.9515 219.446 ]",0.011230689892576803,0.006365270352991041,,0.0,4,150,150,0,150,0,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.095,"[224.7305 230.5855 228.014  225.243  224.4805 225.892  230.0155 224.8565
 225.499  221.2285 220.509  221.2385 225.5945 224.4205 224.9145 226.285 ]",0.012008107462738064,0.004558874130016462,,0.01,0,0,0,150,0,150,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.079,"[223.069  223.6455 226.378  225.0885 221.882  225.136  227.248  225.331
 220.004  223.0055 218.8405 221.302  226.5885 224.4485 226.4265 221.781 ]",0.010808339045989447,0.002918332857414771,,0.01,0,0,150,150,150,0,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.07799999999999999,"[225.8595 225.37   226.9175 224.931  222.0025 225.4465 220.2285 222.8805
 219.9145 227.1195 220.513  220.3285 218.996  223.583  220.351  227.553 ]",0.012791462173587212,0.004328202090167847,,0.01,0,150,0,0,150,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.078,"[228.4675 226.897  225.8335 228.825  221.379  224.217  225.26   225.3975
 219.8765 223.628  219.681  227.478  225.8415 223.6605 221.8245 221.895 ]",0.012388702525457446,0.00466502947471932,,0.01,0,150,150,0,0,150,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.099,"[223.3985 223.0965 221.483  227.7145 230.2815 226.778  223.8355 226.8255
 223.1625 222.774  218.9155 231.1245 234.784  232.405  223.5165 222.982 ]",0.018875077675428724,0.005944184833375671,,0.01,4,0,0,0,150,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.096,"[225.0745 225.117  220.35   231.1105 224.1215 225.769  223.7425 226.769
 220.538  218.954  216.8445 225.0325 228.3745 225.4555 222.4835 223.329 ]",0.015421435918665558,0.0064906984729431625,,0.01,4,0,150,0,0,0,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.096,"[228.6725 225.9265 220.8445 225.86   224.5115 219.4105 222.0585 223.4035
 221.745  219.8845 217.6555 214.572  221.3935 221.812  221.736  226.2245]",0.015392102001529684,0.00470416482137549,,0.01,4,150,0,150,0,0,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.08800000000000001,"[226.5105 228.2975 220.166  219.8795 215.7245 217.674  223.2015 220.0635
 221.779  217.952  217.375  217.938  217.488  223.352  220.0425 219.771 ]",0.015132940207807956,0.006511528238439886,,0.01,4,150,150,150,150,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.09699999999999999,"[225.9215 231.6705 228.666  231.4655 237.405  237.0345 238.219  237.762
 233.1725 230.3075 227.186  232.2975 230.352  225.482  224.0695 229.9745]",0.018937349836733532,0.009437293044088435,,0.0,0,0,0,0,0,0,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.076,"[226.4655 230.7625 228.1755 227.204  228.231  228.034  229.7575 228.31
 230.576  227.0805 226.316  226.7385 226.8985 224.3445 227.651  223.993 ]",0.008004382921154601,0.0025265259415516265,,0.0,0,0,150,0,150,150,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.07400000000000001,"[225.635  230.414  225.4615 226.125  227.2495 229.629  226.0745 230.0365
 228.8855 228.343  227.2825 224.446  231.061  221.8145 225.2045 223.0675]",0.011429757484090947,0.0026551836094703503,,0.0,0,150,0,150,150,150,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.095,"[228.0745 226.7585 226.5    225.876  225.803  226.59   223.104  226.4025
 227.896  226.635  226.6035 225.904  225.613  222.147  221.391  224.301 ]",0.008219465958128655,0.0028394541729001377,,0.0,0,150,150,150,0,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.09400000000000001,"[227.3135 226.7095 227.741  233.0695 225.317  228.3    230.173  231.25
 221.965  226.1245 222.599  224.042  227.9465 217.121  222.062  220.459 ]",0.018046845653589376,0.004031128874149277,,0.0,4,0,0,150,150,0,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.10300000000000001,"[228.559  224.3515 230.4235 230.2385 226.4795 226.941  235.1285 230.7355
 227.484  231.1885 229.7455 230.0045 230.719  225.9565 226.4615 224.1635]",0.01224305308084489,0.006049793384901668,,0.0,4,0,150,150,0,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.095,"[228.9635 226.149  226.6755 229.302  229.0705 225.486  228.2065 227.418
 225.1145 227.428  225.073  227.5305 225.0425 226.3805 226.71   227.9735]",0.006146509643435075,0.005246824436425017,,0.0,4,150,0,0,0,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.095,"[222.858  228.6735 225.766  229.5325 230.7675 231.7895 226.342  228.58
 230.1275 231.721  228.6005 228.4445 231.781  223.8175 226.882  228.8525]",0.01144632218169794,0.0055223032634339605,,0.0,4,150,150,0,150,0,0,0.0,False,17,0,2,3700,30,Manual
